timestamp,datetime,kh,ph,r2,eq_ml,endpoint_ph,method,confidence,kh_gran,kh_endpoint,probe_noise_mv,ph_reversals
1771626360,2026-02-20 23:26,8.26,8.65,0.9945,9.461,4.68,1,0.53,8.26,8.49,3.48,8
1771628619,2026-02-21 00:03,8.27,8.63,0.9940,9.479,4.66,1,0.51,8.27,8.51,2.50,6
1771634191,2026-02-21 01:36,8.33,8.47,0.9943,9.547,4.64,1,0.52,8.33,8.55,2.97,9
1771639974,2026-02-21 03:12,8.36,8.58,0.9948,9.573,4.65,1,0.54,8.36,8.59,2.56,7
1771644992,2026-02-21 04:36,8.55,8.52,0.9909,9.801,4.68,1,0.39,8.55,8.81,2.80,5
1771648607,2026-02-21 05:36,8.41,8.29,0.9986,9.642,4.62,1,0.69,8.41,8.63,2.46,3
1771652210,2026-02-21 06:36,8.34,8.40,0.9968,9.557,4.63,1,0.62,8.34,8.54,2.60,8
1771658008,2026-02-21 08:13,8.51,8.36,0.9956,9.746,4.62,1,0.58,8.51,8.73,2.70,11
